year,MagnusCarlsen,LirenDing,IanNepomniachtchi,AlirezaFirouzja,FabianoCaruana,LevonAronian,WesleySo,none
2012,2837,2702,2704,1900,2782,2815,2682,0
2013,2870,2707,2721,1946,2796,2803,2719,0
2014,2863,2726,2714,2332,2829,2797,2762,0
2015,2876,2749,2707,2372,2787,2788,2775,0
2016,2857,2755,2767,2456,2823,2785,2794,0
2017,2822,2773,2729,2509,2799,2805,2788,0
2018,2843,2816,2763,2607,2832,2765,2765,0
2019,2875,2805,2767,2723,2822,2775,2760,0
2020,2863,2791,2784,2749,2823,2781,2770,0
2021,2855,2791,2782,2805,2792,2772,2772,0
2022,2864,2806,2792,2776,2776,2775,2773,0